Refresh_Date,Month,Market,Key,KPI,Format,Mode,Category,YTD,Target,vs_Target,LYTD,vs_LYTD,R12M,LMR12M,vs_LMR12M,LYR12M,vs_LYR12M
2026-01-20,12 - Dec,All Markets,SLS_TTL,Total Sales,C0,CPBWSC,sales,125456789,130000000,-0.0349,111723456,0.1229,198765432,196543210,0.0113,178234567,0.1152
2026-01-20,12 - Dec,All Markets,SLS_PEN,Sales Penetration,P4,CPBWSC,sales,0.1820,0.2000,-0.0180,0.1950,-0.0130,0.1780,0.1760,0.0020,0.1890,-0.0110
2026-01-20,12 - Dec,All Markets,MBR_TTL,Transacting Members,V0,CPBWSC,members,456789,500000,-0.0864,422567,0.0810,534567,528901,0.0107,498234,0.0729
2026-01-20,12 - Dec,All Markets,MBR_NEW,New Members,V0,CPBWSC,members,146234,160000,-0.0860,118901,0.2299,178901,176234,0.0151,158901,0.1259
2026-01-20,12 - Dec,All Markets,MBR_RTN,Returning Members,V0,CPBWSC,members,310555,340000,-0.0866,303666,0.0227,355666,352667,0.0085,339333,0.0481
2026-01-20,12 - Dec,All Markets,AVG_ATF,Average Frequency,V2,CPB,behavior,2.34,2.50,-0.0640,2.28,0.0263,2.41,2.39,0.0084,2.31,0.0433
2026-01-20,12 - Dec,All Markets,AVG_AOV,Average Order Value,C0,CPB,behavior,287,295,-0.0271,276,0.0399,291,289,0.0069,281,0.0356
2026-01-20,12 - Dec,All Markets,PCT_RDM,Redeeming Members %,P4,CPBWSC,loyalty,0.1540,0.1800,-0.0260,0.1420,0.0120,0.1580,0.1550,0.0030,0.1380,0.0200
2026-01-20,12 - Dec,All Markets,PCT_XBP,Cross Brand Plus %,P4,CPBWSC,crossbrand,0.2340,0.2500,-0.0160,0.2130,0.0210,0.2280,0.2250,0.0030,0.2050,0.0230
2026-01-20,12 - Dec,All Markets,PCT_NBA,New Brand Adopters %,P4,CPB,crossbrand,0.0890,0.1000,-0.0110,0.0780,0.0110,0.0920,0.0900,0.0020,0.0820,0.0100
2026-01-20,12 - Dec,All Markets,AVG_BRD,Average Brands Shopped,V2,CPB,crossbrand,1.42,1.50,-0.0533,1.38,0.0290,1.45,1.43,0.0140,1.36,0.0662
2026-01-20,12 - Dec,All Markets,PTS_BRN,Points Burned Value,C0,CPB,loyalty,8234567,9000000,-0.0851,7123456,0.1560,15678901,15234567,0.0292,13456789,0.1651
2026-01-20,12 - Dec,United Arab Emirates,SLS_TTL,Total Sales,C0,CPBWSC,sales,52345678,55000000,-0.0483,45234567,0.1572,98765432,95432109,0.0349,88765432,0.1127
2026-01-20,12 - Dec,United Arab Emirates,SLS_PEN,Sales Penetration,P4,CPBWSC,sales,0.2150,0.2300,-0.0150,0.2080,0.0070,0.2100,0.2080,0.0020,0.2020,0.0080
2026-01-20,12 - Dec,United Arab Emirates,MBR_TTL,Transacting Members,V0,CPBWSC,members,178234,190000,-0.0619,165432,0.0774,212345,209876,0.0118,198765,0.0683
2026-01-20,12 - Dec,United Arab Emirates,MBR_NEW,New Members,V0,CPBWSC,members,58901,62000,-0.0500,48234,0.2212,72345,71234,0.0156,65432,0.1057
2026-01-20,12 - Dec,United Arab Emirates,MBR_RTN,Returning Members,V0,CPBWSC,members,119333,128000,-0.0677,117198,0.0182,140000,138642,0.0098,133333,0.0500
2026-01-20,12 - Dec,United Arab Emirates,AVG_ATF,Average Frequency,V2,CPB,behavior,2.45,2.60,-0.0577,2.38,0.0294,2.52,2.49,0.0120,2.42,0.0413
2026-01-20,12 - Dec,United Arab Emirates,AVG_AOV,Average Order Value,C0,CPB,behavior,312,320,-0.0250,298,0.0470,318,315,0.0095,305,0.0426
2026-01-20,12 - Dec,United Arab Emirates,PCT_RDM,Redeeming Members %,P4,CPBWSC,loyalty,0.1680,0.1900,-0.0220,0.1520,0.0160,0.1720,0.1690,0.0030,0.1480,0.0240
2026-01-20,12 - Dec,United Arab Emirates,PCT_XBP,Cross Brand Plus %,P4,CPBWSC,crossbrand,0.2830,0.3000,-0.0170,0.2540,0.0290,0.2780,0.2740,0.0040,0.2450,0.0330
2026-01-20,12 - Dec,United Arab Emirates,PCT_NBA,New Brand Adopters %,P4,CPB,crossbrand,0.1020,0.1100,-0.0080,0.0890,0.0130,0.1050,0.1020,0.0030,0.0920,0.0130
